Name	Category	Description	Task	Data_Type	Source	Paper link	Availability	Contact
AlgPred 2.0 Dataset	Computational Method Development	Large-scale dataset with 10075 allergens and 10075 non-allergens plus 10451 validated IgE epitopes for machine learning	Allergenicity Assessment, Cross-Reactivity Modeling, Drug Design	Mixed	https://webs.iiitd.edu.in/raghava/algpred2/	https://pubmed.ncbi.nlm.nih.gov/33201237/	Open source	
Simulated AIT Trials Dataset	Drug & Immunotherapy Development	Simulated datasets with enhanced three-stage trial design for allergen immunotherapy capturing realistic features like crossover and discontinuation	Treatment Planning, Drug Design	Mixed	https://figshare.com/articles/dataset/Simulated_datasets_for_enhanced_three-stage_design_for_allergen_immunotherapy_trials/23638965		Open source	
Food Anaphylaxis ML Dataset (TIP)	Drug & Immunotherapy Development	Dataset from Tolerance Induction Program with 530 juvenile patients featuring 241 allergy assays per patient achieving 95.2% recall for peanut anaphylaxis prediction	Drug Design, Treatment Planning	Clinical	Contact authors	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0283141	Gated	
Food Allergy Risk Stratification Dataset	Drug & Immunotherapy Development	EMR-based dataset with 4077 children with food allergies and 95686 controls for predicting FA development with AUC 0.80	Treatment Planning	Food	Contact authors	https://onlinelibrary.wiley.com/doi/10.1111/all.15839	Gated	
Enamine REAL Database	Drug & Immunotherapy Development	Massive virtual library of synthesizable compounds and enumerated subsets for large-scale virtual screening and hit expansion	Drug Design, Target Interaction	Chemical	https://gist.github.com/matteoferla/b1eee8656079d006835f2d8dc159fbb5		Open source	
Allermatch	Allergen Identification & Prediction	Webtool for standardized allergenicity prediction according to FAO/WHO Codex alimentarius guidelines using sliding window approach	Allergenicity Assessment	Mixed	http://allermatch.org	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC522748/	Open source	
AllerHunter	Allergen Identification & Prediction	Computational tool for allergen prediction with internal and external validation achieving MCC 0.738 on external dataset	Allergenicity Assessment	Mixed	Contact authors	Multiple publications	Gated	
AllerCatPro 2.0	Drug & Immunotherapy Development	Tool predicting allergenicity using amino acid sequence and 3D structure similarity with database of 4979 allergens 162 mild allergenic proteins and 165 autoimmune allergens	Allergenicity Assessment, Drug Design	Molecular	https://allercatpro.bii.a-star.edu.sg/	https://pubmed.ncbi.nlm.nih.gov/35157755/	Open source	
IEDB Analysis Resource	Cross-Reactivity Analysis	Companion to IEDB providing computational tools for B and T cell epitope prediction including MHC binding predictions	Epitope Mapping	Mixed	http://tools.iedb.org/	https://academic.oup.com/nar/article/47/W1/W502/5494780	Open source	
AllergenAI	Cross-Reactivity Analysis	Allergenicity prediction based on protein sequences. Processed data from SDAP 2.0, COMPARE, and AlgPred 2	Allergen Identification, Allergenicity Assessment	Molecular	https://compbio.uth.edu/AllergenAI/	https://pmc.ncbi.nlm.nih.gov/articles/PMC11230160/	Open source	
NetAllergen	Allergen Identification & Prediction	A curated database of IgE-inducing allergens based on AllergenOnline, carefully removed allergen redundancy with a novel protein partitioning pipeline, and developed a new allergen prediction method, introducing MHC presentation propensity as a novel feature.	Allergen Identification, Allergenicity Assessment	Molecular	https://services.healthtech.dtu.dk/services/NetAllergen-1.0/	https://academic.oup.com/bioinformaticsadvances/article/3/1/vbad151/7319372?login=false	Open source
Food Allergy & Intolerance Dataset	Patient Management & Clinical Decision Support	This dataset contains data related to food allergies and intolerances. It includes key features such as age, gender, symptoms, food type consumed, IgE levels, and allergy history, helping in predictive modeling for food allergy detection and reaction severity assessment.	Severity Assessment, Risk Stratification	Food	https://datahub.io/@RuthvikUppala30/US-food-allergy-dataset		Open source	
AllerTOP v1.1	Drug & Immunotherapy Development	First alignment-free server for in silico prediction of allergens based on physicochemical properties of proteins, achieving 94% sensitivity in allergen prediction	Structural Analysis, Drug Design, Allergenicity Assessment, Allergen Identification	Molecular	https://ddg-pharmfac.net/allertop/cite/	https://bmcbioinformatics.biomedcentral.com/articles/10.1186/1471-2105-14-S6-S4	Open source	
DIABIMMUNE	Patient Management & Clinical Decision Support	The DIABIMMUNE three-country cohort dataset tracks infants from Finland, Estonia, and Russia with similar HLA genetic risk for type 1 diabetes, collecting comprehensive longitudinal data including monthly stool microbiome sequencing (16S rRNA and whole-genome shotgun), clinical records, and lifestyle factors. It investigates the role of gut microbiome variations and early immune education in allergy and autoimmune disease development, providing valuable data to explore microbial and genetic influences on immune-related conditions	Microbiome Analysis, Genetic Analysis	Clinical	https://diabimmune.broadinstitute.org/diabimmune/three-country-cohort	https://pmc.ncbi.nlm.nih.gov/articles/PMC6361419/	Open source	
Allergen Chip data challenge	Computational Method Development	The goal of the competition was to develop Machine Learning models that can predict the presence and severity of an allergic disease based on this personalized profile. The dataset has been constructed from data of more than 4,000 patients includes tabular data associated with image files.	Risk Stratification, Severity Assessment	Clinical	https://github.com/Trustii-team/AllergenChip		Gated	contact@trustii.io
FARE Food Allergy Research	Drug & Immunotherapy Development	The Data Coordinating Center will support critical FARE Clinical Network activities for the design, development, execution, monitoring, and analysis of translational research.	Risk Stratification, Severity Assessment, Symptom Analysis, Treatment Planning	Clinical	https://research.foodallergy.org/#_ga=2.222605656.279038653.1759159933-230927819.1759159933		Gated	Email to FAREDCC@westat.com
Allergen30	Food Product Development & Safety	More than 6,000 images of 30 commonly used food items which can cause an adverse reaction within a human body. The goal is building a robust detection model that can assist people in avoiding possible allergic reactions.	Ingredient Analysis	Food	https://universe.roboflow.com/allergen30/food_new-uuulf	https://link.springer.com/article/10.1007/s12161-022-02353-9	Open source	
Food: allergen and allergy	Food Product Development & Safety	A comprehensive list of food items with their corresponding allergies.	Ingredient Analysis	Food	https://www.kaggle.com/datasets/boltcutters/food-allergens-and-allergies		Open source	
CFSAN Adverse Event Reporting System (CAERS)	Patient Management & Clinical Decision Support	The CFSAN Adverse Event Reporting System (CAERS) dataset contains approximately 90,000 reports of adverse events related to foods, dietary supplements, and cosmetics submitted to the FDA from 2004 to 2017. It includes detailed data on food products suspected in adverse reactions and associated symptoms, supporting analysis of patient risk factors, symptoms classification, and identification of allergenic ingredients in food products	Risk Stratification, Symptom Analysis, Ingredient Analysis	Clinical	https://www.kaggle.com/datasets/fda/adverse-food-events		Open source	
Food Ingredients and Allergens	Food Product Development & Safety	The Food Allergens Dataset is a collection of information regarding allergens present in various food items. The dataset contains allergen information for a range of food ingredients, enabling the identification and analysis of potential allergens in different dishes and products. It serves as a valuable resource for researchers, food manufacturers, healthcare professionals, and individuals with food allergies.	Ingredient Analysis	Food	https://www.kaggle.com/datasets/uom190346a/food-ingredients-and-allergens/		Open source	
Allergen Family Database	Cross-Reactivity Analysis	A curated database that classifies known allergens into protein families to support analysis of allergenicity and cross-reactivity across sources and exposure routes. It integrates entries from WHO/IUIS Allergen Nomenclature and AllergenOnline with Pfam domain annotations, providing family-level pages with biochemical descriptions, allergological significance, and links to primary records and references.	Allergen Identification, Allergenicity Assessment, Drug Design, Target Interaction, Structural Analysis	Molecular	https://www.meduniwien.ac.at/allfam/		Open source	
Allergy dataset	Drug & Immunotherapy Development	Dataset supporting the conclusions for article: "The epidemiologic characteristics of healthcare provider-diagnosed eczema, asthma, allergic rhinitis, and food allergy in children: a retrospective cohort study" by Hill et al.	Risk Stratification, Ingredient Analysis, Treatment Planning, Product Development, Genetic Analysis	Food	https://zenodo.org/records/44529	https://pubmed.ncbi.nlm.nih.gov/27542726/	Open source	
Alleropedia Database for Allergens	Cross-Reactivity Analysis	The Alleropedia database is a comprehensive metadatabase consolidating 13,146 allergen records from six freely accessible sources, including major allergen databases like COMPARE, AllergenOnline, WHO/IUIS, and Allergome. It offers a user-friendly web interface and additional features such as data integration with sources like NCBI, facilitating easy access, analysis, and navigation of allergen-related information for researchers and clinician	Allergen Identification, Allergenicity Assessment, Cross-Reactivity Modeling, Epitope Mapping, Structural Analysis	Mixed	https://github.com/maitreyeepaliwal/Alleropedia-Database-for-Allergens		Open source	
Allergome	Drug & Immunotherapy Development	A comprehensive, curated platform documenting allergenic molecules and their sources across all taxa and exposure routes, with monographs, literature integration, and tools tailored for clinicians and researchers in allergy and immunology.	Allergenicity Assessment, Drug Design, Allergen Identification	Mixed	https://www.allergome.org/	https://www.jacionline.org/article/S0091-6749(04)03615-2/fulltext	Open source	
GWAS Database	Drug & Immunotherapy Development	The NHGRI-EBI GWAS Catalog is a curated, standardized repository of human genome-wide association study results, offering hundreds of thousands of variant–trait associations and tens of thousands of full summary-statistics datasets suitable for downstream analyses like meta-analysis and fine-mapping. Because it indexes GWAS signals across many immune and barrier-function traits and includes loci implicated in food allergy (e.g., HLA, FLG, SERPINB cluster), it is directly usable to query, aggregate, and reanalyze genetic associations relevant to food allergies and specific allergens such as peanut	Ingredient Analysis, Product Development	Food	https://www.ebi.ac.uk/gwas/	https://pmc.ncbi.nlm.nih.gov/articles/PMC2639349/	Open source	
TIP Dataset	Computational Method Development	Tolerance Induction Program dataset containing data from 530 pedriatic patients. From "Food anaphylaxis diagnostic marker compilation in machine learning design and validation"	Risk Stratification, Severity Assessment	Clinical	https://github.com/TPIRC/ai_paper_2022	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0283141	Open source	
DNA Methilation GSE59999	Patient Management & Clinical Decision Support	Genome wide DNA methylation profiling study of PBMC from 71 unique primary patient blood samples. The Illumina Human Methylation 450k array was used. 29 challenge proven food allergy, 29 sensitized but oral tolerant, 13 non food allergics Mixture of food allergy phenotypes (egg allergic (15), peanut allergic (14)), food sensitization phenotypes (egg sensitized (14), peanut sensitized (15)). 4 samples had technical replicate hybridzations. From "Blood DNA methylation biomarkers predict clinical reactivity in food-sensitized infants"	Risk Stratification	Clinical	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE59999	https://pubmed.ncbi.nlm.nih.gov/25678091/	Open source	
HealthNuts Study	Patient Management & Clinical Decision Support	Mass citometry data from 36 participants encompassing non-allergic, peanut sensitized with tolerance, and clinically peanut allergic infants	Risk Stratification	Clinical	https://www.immport.org/shared/search?text=SDY2015	https://www.nature.com/articles/s41597-022-01861-x#Sec6	Open source	
Dysfunctional Gut Microbiome Networks in Childhood IgE-Mediated Food Allergy	Patient Management & Clinical Decision Support	To identify potential target microbes, which may play a key role in regulating/ influencing the microbe-microbe interactions, leading to the onset of food allergy. 16S rRNA, 33 allergic vs 27 controls	Risk Stratification	Food	https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA699997	https://pmc.ncbi.nlm.nih.gov/articles/PMC7923212/#notes5	Open source	
Akkermansia muciniphila exacerbates food allergy in fibre-deprived mice	Allergen Identification & Prediction	Study on alteration of mice gut microbioma, focusing on Akkermansia muciniphila.	Allergen Identification, Allergenicity Assessment	Mixed	https://www.ebi.ac.uk/ena/browser/view/PRJEB53451	https://www.nature.com/articles/s41564-023-01464-1	Open source	
CHILD cohort	Allergen Identification & Prediction	Multi-omics; microbiome maturation predicts allergic disease	Allergen Identification, Allergenicity Assessment	Omics		https://www.nature.com/articles/s41467-023-40336-4#data-availability	Gated	Contact Stuart E. Turvey (sturvey@bcchr.ca)
AllergyMap	Food Product Development & Safety	A corpus that maps free-text allergy mentions (medications, foods, etc.) in EHRs to standard terminologies (SNOMED, etc.)	Text Mining	Food	https://github.com/amywangmd/AllergyMap	https://pmc.ncbi.nlm.nih.gov/articles/PMC8075505/	Open source	
PEAR – Partners’ Enterprise-wide Allergy Repository (Food entries subset)	Patient Management & Clinical Decision Support	Allergy entries from EHRs across a health system, with food terms extracted and normalized (approx. 158,552 food allergen records).	Risk Stratification	Food		https://pmc.ncbi.nlm.nih.gov/articles/PMC4954633/	Gated	Partners Healthcare / investigator team
FSA Allergen Database Service (UK Nut allergy Registry)	Patient Management & Clinical Decision Support	Clinical and laboratory data from patients attending a UK allergy clinic for suspected nut allergy, including reaction history, severity, and lab tests.	Risk Stratification	Clinical	https://www.nal.usda.gov/research-tools/food-safety-research-projects/allergen-database-service		Gated	FSA / database administrators
COMPARE	Drug & Immunotherapy Development	The COMPARE database provides an annually updated, peer-reviewed collection of clinically relevant protein sequences of allergens, along with tools for aligning and assessing the allergenic potential of novel proteins based on established regulatory guidelines	Allergen Identification, Cross-Reactivity Modeling, Allergenicity Assessment, Epitope Mapping, Risk Stratification, Ingredient Analysis, Target Interaction, Severity Assessment	Molecular	https://comparefasta.comparedatabase.org/		Open source	
Open Food Facts	Drug & Immunotherapy Development	The Open Food Facts database is a large, publicly accessible collection of detailed product information including ingredients, nutrition, and labeling, available in multiple data formats with open licenses for broad reuse in food transparency and research.This dataset mainly supports food-related analyses including allergen detection, labeling validation, chemical and nutritional content analysis, and research into hypoallergenic or alternative food products	Ingredient Analysis, Labeling Compliance, Property Prediction, Treatment Planning, Product Development, Alternative Ingredients	Chemical	https://world.openfoodfacts.org/data		Open source	
Swiss legislation on food allergens data	Patient Management & Clinical Decision Support	This dataset is a German-language, hand-curated list of common food allergens based on Swiss legislation, compiled to support allergen identification and text matching for developers and researchers, with a focus on enabling structured, multilingual allergen data relevant to Switzerland	Allergen Identification, Ingredient Analysis, Labeling Compliance, Text Mining, Risk Stratification	Molecular	https://github.com/foodopendata/food-allergens-ch		Open source	
Allergen Status of Food Products	Food Product Development & Safety	This dataset contains allergen status information for 400 food products, detailing ingredients, allergens present, pricing, and customer ratings, enabling allergen detection and analysis for researchers, manufacturers, and consumers	Allergen Identification, Ingredient Analysis, Labeling Compliance, Allergenicity Assessment	Food	https://www.kaggle.com/datasets/nandhanasuresh/allergen-status-of-food-products		Open source	
Ingredients with 16 Allergen Tags	Food Product Development & Safety	This dataset lists 10,000 USDA ingredients, each tagged with 16 common allergen labels such as dairy, eggs, peanuts, gluten, and shellfish, with annotations indicating certainty or uncertainty of allergen presence.	Allergen Identification, Ingredient Analysis, Allergenicity Assessment	Food	https://www.kaggle.com/datasets/khochawongwat/ingredients-with-17-allergen-tags		Open source	
Food Ingredients and Allergens	Food Product Development & Safety	This Food Allergens dataset contains 400 records detailing food products, their ingredients, associated allergens, and allergen presence prediction, supporting allergen detection and analysis for diverse applications.	Allergen Identification, Ingredient Analysis, Allergenicity Assessment, Text Mining	Food	https://www.kaggle.com/datasets/uom190346a/food-ingredients-and-allergens		Open source	
IEDB (Immune Epitope Database)	Drug & Immunotherapy Development	Comprehensive database containing over 1.6 million immune epitopes including antibody and T cell epitopes for allergens, with analysis and prediction tools	Epitope Mapping, Target Interaction, Drug Design, Product Development	Mixed	https://www.iedb.org/	https://pmc.ncbi.nlm.nih.gov/articles/PMC3042621	Open source	
WHO/IUIS Allergen Nomenclature Database	Allergen Identification & Prediction	The WHO/IUIS Allergen Nomenclature is the authoritative system for naming allergenic proteins, approved by the World Health Organization and International Union of Immunological Societies. Established in 1984, this sub-committee maintains a unique, systematic nomenclature based on the Linnaean taxonomy for proteins causing IgE-mediated allergic reactions, supporting global consistency in allergen research and publication	Text Mining	Molecular	https://allergen.org/	https://pubmed.ncbi.nlm.nih.gov/29625844/	Open source	
ProPepper	Food Product Development & Safety	ProPepper is a database of cereal prolamin epitopes, peptides and proteins for expert users that are dealing with protein chemistry, proteomics and mass spectrometry, method developments and related applications in food science, agricultural breeding or medical studies.	Ingredient Analysis, Product Development	Molecular	https://ngdc.cncb.ac.cn/databasecommons/database/id/1686	https://pubmed.ncbi.nlm.nih.gov/26450949/	Open source	
Allergen Peptide Browser	Food Product Development & Safety	Allergen Detection using Mass Spectrometry (MS)	Ingredient Analysis, Product Development	Mixed	https://www.allergenpeptidebrowser.org/		Open source	
